question,answer
what information supports the conclusion that aaliyah acquired this trait?,Aaliyah learned how to make chili from a recipe book.
"what kind of sentence is this?
jenna put a bandage on my cut.",declarative
how long is a leather belt?,26 inches
"what does the personification in this text suggest?
dan tried to ignore his unfinished essay, but it glared at him from across the room.",It bothered Dan that the essay wasn't finished.
"complete the sentence.
the first amendment says that the government cannot take away a person's freedom of speech or ().",freedom of religion
"what do these two changes have in common?
ice melting in a cup
pouring milk on oatmeal",Both are only physical changes.
"is the following trait inherited or acquired?
jared knows how to type.",acquired
"what do these two changes have in common?
baking cookies
a piece of pizza rotting in a trashcan",Both are chemical changes.
what information supports the conclusion that kendall acquired this trait?,Kendall learned how to make chili from a recipe book.
"what do these two changes have in common?
carving a piece of wood
mixing sand and gravel",Both are only physical changes.
"what do these two changes have in common?
cooking an egg
burning food on a stove",Both are chemical changes.
"complete the sentence so that it uses personification.
the wind () dispersed the leaves that erik had spent so long raking.",carelessly
"is the following trait inherited or acquired?
christine can drive a car.",acquired
"what does the allusion in this text suggest?
when pamela claimed she had loaded the dishwasher before turning on dancing with the stars, her mother replied, ""your nose is growing!""",Pamela was lying.
how long is a parking space?,24 feet
what is the temperature of the air inside of a freezer?,17°F
what information supports the conclusion that pete acquired this trait?,Pete was not born knowing how to identify different fish. He had to learn this skill.
how long is a car key?,6 centimeters
"complete the sentence so that it uses personification.
the ancient car () whenever someone tries to use it.",throws a fit
what information supports the conclusion that kimberly inherited this trait?,Kimberly's parents have dark skin. They passed down this trait to Kimberly.
"what does this works cited entry indicate about the cited work?
allawi, ali a. faisali of iraq. new haven: yale university press, 2014. print.",Allawi is the author's last name.
"based on this information, what is candy's genotype for the body hair gene?",BB
"based on this information, what is freya's phenotype for the coat pattern trait?",a black coat
"based on this information, what is this fly's phenotype for the body color trait?",a gray body
"does this passage describe the weather or the climate?
where sarah lives, winter is the rainiest season of the year.",climate
what is the mass of a floor lamp?,9 pounds
how long is a school bus?,12 yards
"what is the source of the allusion in the sentence below?
before allie had even met her future husband in person, she knew about his reputation as a romeo.",literature
"what is the source of the allusion in the sentence below?
shannon warned her youngest son not to cry wolf while wrestling with his older brother.",a fable
what information supports the conclusion that luther acquired this trait?,Luther learned history by reading.
"what does the idiom in this text suggest?
mr. and mrs. hartman usually see eye to eye, but not when it comes to the controversial mayoral race.",Mr. and Mrs. Hartman usually agree.
what information supports the conclusion that stefan acquired this trait?,Stefan's scar was caused by an accident. He cut his arm when he fell off his bicycle.
